,Area,YearBuilt,Rooms,Location,Price,Floor,BuildingAge
312,105,1393,3, شهران جنوبی,11400000000,4,9
313,136,1388,3, کوی فردوس,13900000000,3,14
314,154,1383,3, کوی فردوس,11550000000,2,19
315,115,1384,2, هروی,12700000000,1,18
316,104,1393,2, جنت‌آباد مرکزی,12200000000,1,9
317,214,1402,3, جردن,47000000000,1,0
318,130,1398,3, هروی,18200000000,5,4
319,98,1390,2, جنت‌آباد جنوبی,11800000000,4,12
320,105,1385,2, سعادت‌آباد,13000000000,4,17
321,110,1390,2, هروی,12900000000,5,12
322,212,1385,3, پاسداران,29000000000,4,17
323,85,1395,2, پونک,7600000000,4,7
324,88,1401,2, کاشانک,14500000000,3,1
325,127,1401,2, ازگل,21300000000,2,1
326,140,1401,3, سعادت‌آباد,23500000000,5,1
327,180,1388,3, زعفرانیه,28000000000,3,14
328,135,1395,3, جنت‌آباد شمالی,13000000000,1,7
329,120,1395,3, سهروردی,13250000000,1,7
330,55,1388,1, کوی فردوس,5950000000,2,14
331,72,1378,2, باغ فیض,5720000000,3,24
332,116,1390,3, آبشار تهران,8250000000,7,12
333,89,1386,2, شهران شمالی,6650000000,2,16
334,180,1385,3, سعادت‌آباد,30600000000,11,17
335,98,1397,2, جنت‌آباد جنوبی,11200000000,5,5
336,47,1389,1, سلسبیل,2800000000,1,13
337,130,1380,2, الهیه,23900000000,1,22
338,100,1401,2, مرزداران,14500000000,3,1
339,114,1395,3, آبشار تهران,8050000000,4,7
340,115,1382,2, شهرک غرب,13400000000,1,20
341,75,1384,2, جنت‌آباد مرکزی,7800000000,5,18
342,139,1402,3, استاد معین,11850000000,4,0
343,20,1400,1, دریاچه شهدای خلیج فارس,600000000,21,2
344,60,1388,2, پونک,6300000000,5,14
345,230,1396,3, سعادت‌آباد,50000000000,1,6
346,73,1395,2, شهران جنوبی,7000000000,3,7
347,125,1392,3, سعادت‌آباد,17500000000,5,10
348,78,1398,2, جنت‌آباد جنوبی,10000000000,5,4
349,76,1397,2, جنت‌آباد مرکزی,8150000000,5,5
350,172,1400,3, سعادت‌آباد,45000000000,5,2
351,84,1384,2, پونک,7900000000,1,18
352,65,1380,2, افسریه,3900000000,0,22
353,375,1400,4, محمودیه,93000000000,2,2
354,150,1385,3, میرداماد,18000000000,2,17
355,130,1401,3, مقدم,6500000000,0,1
356,194,1401,3, پاسداران,22310000000,11,1
357,225,1387,3, زعفرانیه,44000000000,6,15
358,170,1401,3, ولنجک,39000000000,6,1
359,113,1397,2, سازمان برنامه,15820000000,3,5
360,118,1402,2, دریاچه شهدای خلیج فارس,8500000000,25,0
361,61,1387,2, مولوی,1900000000,0,15
362,93,1385,2, سازمان برنامه,10200000000,3,17
363,72,1386,2, سازمان برنامه,7100000000,1,16
364,245,1388,4, فرمانیه,47000000000,5,14
365,125,1384,3, کوی فردوس,12800000000,3,18
366,88,1385,2, جنت‌آباد جنوبی,7089000000,2,17
367,48,1383,1, جیحون,2800000000,0,19
368,68,1385,2, پونک,6100000000,3,17
369,90,1402,2, چیتگر,990000000,12,0
370,61,1387,1, پونک,6000000000,2,15
371,75,1386,2, جنت‌آباد مرکزی,5750000000,4,16
372,130,1380,3, پاسداران,20000000000,2,22
373,101,1402,2, چیتگر,808000000,11,0
374,47,1385,1, جیحون,2800000000,0,17
375,320,1394,3, سرو آزاد,14800000000,0,8
376,74,1399,2, پیروزی,5850000000,0,3
377,74,1385,2, پونک,6300000000,1,17
378,100,1401,2, نیرو هوایی,13000000000,3,1
379,150,1401,3, نیرو هوایی,15000000000,4,1
380,150,1397,3, شهرک راه‌آهن,142000000000,2,5
381,50,1400,1, جیحون,3400000000,4,2
382,115,1402,2, سرو آزاد,4255000000,23,0
383,85,1402,2, نیرو هوایی,9800000000,1,0
384,240,1402,3, فرمانیه,63000000000,6,0
385,110,1402,2, مرزداران,12900000000,4,0
386,88,1390,1, بهارستان,1848000000,0,12
387,53,1393,1, صفا,2970000000,0,9
388,160,1401,3, شهرک غرب,41600000000,2,1
389,153,1399,3, آرارات,26000000000,2,3
390,50,1376,1, هفت چنار,2800000000,1,26
391,155,1390,3, میرداماد,17000000000,3,12
392,140,1395,2, اختیاریه,18200000000,2,7
393,90,1383,2, اباذر,8800000000,2,19
394,50,1391,1, خانی‌آباد نو,2500000000,0,11
395,200,1402,3, زعفرانیه,90000000000,5,0
396,62,1395,1, دولاب,3350000000,0,7
397,57,1385,2, تهران‌سر,3330000000,2,17
398,127,1398,3, دریاچه شهدای خلیج فارس,16000000000,14,4
399,53,1386,1, مولوی,2150000000,0,16
400,55,1387,1, شهر زیبا,5250000000,4,15
401,90,1397,2, شهران جنوبی,8500000000,1,5
402,80,1386,2, شهر زیبا,7450000000,4,16
403,159,1398,3, دهکده المپیک,17800000000,3,4
404,235,1400,3, قیطریه,56000000000,3,2
405,112,1396,2, جنت‌آباد جنوبی,14500000000,3,6
406,110,1402,2, پاسداران,14000000000,11,0
407,44,1385,1, آذربایجان,3990000000,2,17
408,89,1388,2, شمس‌آباد,10650000000,1,14
409,149,1391,3, شهر زیبا,11500000000,1,11
410,112,1402,2, چیتگر,7850000000,0,0
411,85,1402,2, دریاچه شهدای خلیج فارس,1275000000,12,0
412,200,1392,3, درب دوم,35500000000,1,10
413,140,1393,3, جنت‌آباد جنوبی,18200000000,5,9
414,85,1390,2, سعادت‌آباد,12700000000,4,12
415,55,1387,1, جیحون,3500000000,2,15
